Genes,Value1,Value2
Dhrs3,4.539422417,-2.369355297
Myo5a,4.519349287,-0.166503257
Rangap1,4.515260191,1.762450656
Bcl2l1,4.511800617,-0.190793626
Eif3s4,4.500807832,0.602979577
Hdgf,4.493615249,13.88458722
Vps72,4.475407608,7.299255395
Hmox2,4.473576389,0.741324231
Stat3,4.467231288,-1.979342217
Pfn1,4.464243797,-0.193904648
Sel1l,4.463661061,0.260921005
Tnp1,4.435083267,-1.134273126
Gna15,4.431357462,-0.591330781
Mapre3,4.426898254,-1.407365125
Iars,4.418940811,3.626670491
Nov,4.401237168,-1.269182933
Mmp12,4.391332966,7.299484756
Ptpn2,4.376206155,1.457945869
Gucy2e,4.371728384,0.253741062
Cln3,4.367320493,-0.236403736
Psmd2,4.359050628,0.537327316
Ncf4,4.348766815,-5.69003412
Hps1,4.341632642,2.362127641
Ibsp,4.339232264,1.171687314
Lonp1,4.333555021,2.20039838
Asns,4.308655636,5.420999742
Ppp2r5d,4.307650713,4.820751528
1810073N04Rik,4.305775234,2.378751125
Ogfr,4.284821575,-2.087648886
Serpinb5,4.276639894,4.729217263
Slc1a1,4.269190351,-3.991265017
Olr1,4.265538274,-4.691660117
Pik3c3,4.238306941,-0.394211034
2410104I19Rik,4.236973233,2.013455736
Junb,4.213137121,-2.704356114
Ndst2,4.208086475,0.164087142
Znhit1,4.203302931,1.021516085
Bax,4.180364013,-2.146765031
Ars2,4.15713467,3.755373849
Edf1,4.151821393,-1.311596849
Vamp1,4.134255615,1.41669881
Pole3,4.130902149,2.896504698
Syncrip,4.13068767,1.942812769
Ncf2,4.121687727,-5.43040207
Txn2,4.10961467,-0.522959465
Acin1,4.091074741,0.060160106
Bst1,4.090479614,-2.542465589
Serpina6,4.090227865,0.717114463
Adss,4.08181924,0.574290895
Amacr,4.081645701,0.087633719
Trim27,4.079840998,6.625064925
Anp32b,4.072556265,-0.132827488
Hnrph3,4.071739826,-1.641498689
Pdia3,4.071420971,4.814700945
Fus,4.070127835,5.918855016
Plau,4.020256417,6.872994626
Lrp5,4.004774889,2.110832218
Rab9,3.973708275,0.171769754
Ykt6,3.97196564,2.370020869
Igf2r,3.963858405,-0.058018333
Myd88,3.959780753,-2.95746768
Cdk4,3.954875878,5.127423675
Slpi,3.943154881,-3.188962974
Slc6a3,3.934954298,0.593376662
Casp9,3.933811217,0.599131748
Shc1,3.929840393,0.69033268
Prkcb1,3.928603064,-4.889887524
Tk2,3.922103662,-0.46130263
Fdps,3.913355638,-0.121746306
Rom1,3.906022482,-1.548681959
Msh6,3.903949529,6.461227678
Pld1,3.901931581,0.6095667
Atp5c1,3.89872516,3.628875965
Amd1,3.895193573,1.757317127
Lta,3.885290796,2.389023014
Pes1,3.884035019,-1.566289782
Sptlc2,3.869703012,0.133215932
Myo1f,3.856422403,-2.748028319
D3Ucla1,3.847951087,0.542480285
Rpn2,3.845999027,5.391691358
Zc3h14,3.837722484,-1.088415278
Hbegf,3.832367712,-3.013712571
Brd2,3.82236145,-3.30395634
Hist1h1d,3.810559384,-0.491418421
Ppp2r1a,3.808325112,0.58743786
Ccne1,3.798903468,2.160065186
Snapc2,3.797364811,-0.656415072
Vip,3.795995406,-0.387757556
Slc4a2,3.795302496,1.553369126
Anxa3,3.794843744,-5.054446087
Pck2,3.781415421,0.250511367
Hspa4,3.769271729,4.018915767
Smarca4,3.760969653,5.239225286
Gja4,3.751782213,-3.534282494
Dlg3,3.741208367,2.412512272
Pgd,3.736935314,1.341455992
Dclre1a,3.733651237,1.064577989
Lrba,3.728213026,6.247497359
Ela2,3.724353976,-2.24263207
Gnpda1,3.708805425,-0.251397003
Ak1,3.703631888,-1.142365333
Pdk1,3.702659499,1.873851489
Mapkapk2,3.695390778,1.990491241
Bach1,3.690720268,-0.956263136
Elavl3,3.687189114,6.339285734
Mycn,3.686226772,2.428090899
Bscl2,3.670447452,1.678591133
Pcbp1,3.66652292,0.554316935
Laptm4b,3.663304458,18.85968669
Pfkfb2,3.657215591,0.788390862
Lmx1b,3.651765585,0.612163958
Mre11a,3.650306674,5.799323263
Emr1,3.649247542,-0.54633863
Dlst,3.627620049,-0.917758083
2510049I19Rik,3.617303226,-0.965025231
Tm4sf5,3.613974026,1.604819388
Oprs1,3.613781924,1.803429517
Tdo2,3.607999796,0.735040171
Ddx6,3.602200696,0.405264764
Lman2,3.601757057,1.587286193
H1f0,3.594168592,12.95106597
Rps16,3.592038828,4.597364582
Dusp11,3.588666839,1.434904992
Rab11a,3.573885135,-4.333899811
Ppan,3.573347315,-0.263262666
Tnfaip2,3.57106059,-1.481918691
Vdac2,3.554043763,0.903315619
Creg1,3.545292281,-0.317874643
Map2k4,3.541348886,0.417214474
Rfng,3.538648257,0.49263467
Casp8,3.537413253,1.004083279
Map2k2,3.52817386,0.946695592
Hsp90ab1,3.521432155,6.364465753
Hmgcr,3.484974269,-0.798299882
Adk,3.482051434,7.000531916
Ogg1,3.48053403,-4.869609863
Bik,3.477051921,5.630533713
Zfml,3.464430529,0.507067289
Fto,3.45223855,-1.89263772
Sftpc,3.450659508,-5.866456914
Fpr1,3.444487723,0.251283951
Apoa4,3.426947696,-0.095849515
Mrps11,3.417273674,-0.348096255
Shfm1,3.416546924,7.21594639
Tmem131,3.41441483,5.262257091
Abca2,3.410630327,1.336754941
Sh2b1,3.393373352,-0.455177037
Csnk2b,3.386832417,5.413590914
Tpt1,3.380909321,-1.527928262
Cdk5,3.373307361,2.88137208
Cdc5l,3.372880495,-0.480251858
Nme3,3.371732173,2.523189711
Stip1,3.361980093,4.589851887
Tagln2,3.359737214,-1.723222562
Pex11b,3.348909694,1.64465728
Dtx2,3.348325456,4.001868562
Cib1,3.347181303,0.834718784
Fzd7,3.346630551,0.000509502
Tarbp2,3.33931659,2.505951987
Tbca,3.321621085,1.859609236
Atp5f1,3.320366759,0.847756748
F3,3.316345138,0.741331557
Psmd14,3.311152848,7.42326502
Zbtb7a,3.308553985,-2.358246842
Uqcr,3.30832655,0.409872628
Man2a1,3.308159075,1.279506181
Trib3,3.28432703,-0.079138036
Acaa1a,3.267680399,-1.524666353
Pcx,3.25580958,5.598715566
Tfdp1,3.250224795,5.7615189
Ube4b,3.242328508,1.469509581
Tax1bp1,3.237374671,4.700581333
Ptpn1,3.230325195,-3.166864122
Pdk3,3.228592482,5.675566997
Nedd8,3.222128164,0.564394308
Htr1d,3.209417676,3.148522325
Prpf19,3.166091139,2.268728754
Comt,3.162259839,-0.881814502
Grem1,3.145916066,7.753914015
Ptk7,3.142515291,3.131737405
Esd,3.142450707,-3.844448474
Gtf2h4,3.139074411,-0.131727898
Papss1,3.138702438,-3.623044556
Syk,3.122403529,-0.988594586
Acot8,3.116217133,-2.077460647
Npy2r,3.110171766,0.309466301
Tnfrsf1a,3.109773491,-0.706881936
Ap3d1,3.109386208,1.037964074
Kifc1,3.106448715,5.361845504
Sfrs14,3.09635552,2.124239463
Dtymk,3.092788582,3.329915838
Mgst3,3.091215403,-2.799398083
Tmem147,3.089511139,3.555086847
Scg2,3.088910325,1.34992103
Crlz1,3.084914937,-0.651376646
Capza2,3.082522096,-3.755403305
Timm44,3.069675258,-0.637809295
Mpdz,3.062033564,-0.534763348
Fbn2,3.05477469,0.924095465
Ubtf,3.049833827,-1.296683238
Adam23,3.046460684,0.006545061
Il1r1,3.042937469,-4.001408615
Npc1,3.042851622,-0.237237049
Smyd2,3.042698621,-0.478137149
Slc22a18,3.032600414,1.950022574
Psmb1,3.031542399,-0.105555977
Tbc1d22a,3.029576462,1.517877212
Pwp1,3.025344197,0.763558
Stx3,3.010131657,-0.700342919
Gtl3,3.009985347,0.717322565
D2Ertd391e,3.005731472,-1.073967502
Ezh2,3.004525532,7.19893553
Zc3h3,3.000041686,1.156448812
Txk,2.996878893,0.09633266
Vdp,2.989074973,0.703992183
Srp19,2.989054024,3.025008862
Gmfb,2.980670451,-0.423989912
Apof,2.979013527,-1.333325888
Flii,2.978411404,-0.027053052
Txndc4,2.976299109,-2.664132345
Ppfibp2,2.975390421,2.929174962
Hsf4,2.971861016,0.688118985
Fdx1,2.969797403,0.181501506
Tacr1,2.966023788,0.805932327
Eif2ak2,2.953863924,-0.160798626
Pitpnb,2.9415045,1.826071198
Adh5,2.936719247,-1.691256311
Snx4,2.929076057,0.217712009
Pkp2,2.926450077,1.837698752
Bnip1,2.909329191,-0.530521649
Dpagt1,2.905078121,-0.032491441
Rnf2,2.888865624,5.88750838
Psmd3,2.887824778,2.261301909
Txnl4,2.881071647,1.186628153
Ndufa1,2.876781354,1.690958673
Dmtf1,2.874697737,0.30605883
Spink3,2.872925537,8.788003166
Cdc34,2.859752089,1.512063184
Zfp451,2.854748262,-0.56034925
Zfp467,2.854176988,2.19354624
Tmed3,2.850955628,8.269763516
Tsc2,2.842772671,1.669610413
D2Wsu81e,2.826596869,-1.279950266
Lig3,2.824845964,1.242012234
Art1,2.814837628,1.553410614
Ppp4c,2.794608878,3.636112672
Arl6ip1,2.792518516,3.643428708
Idh3g,2.779324274,0.953072329
Psmb6,2.77416612,0.713623669
Hsd3b1,2.765619712,-0.154498935
Zfr,2.75506442,2.481882175
Cubn,2.75255903,-0.290561544
Eda,2.752353464,1.270301684
Ndufb8,2.747117509,-0.156453748
Hnrpl,2.747081573,0.400426758
Crtam,2.746812654,-0.565254793
Il17ra,2.739208276,-0.422720889
Tars,2.730938231,9.403478009
Cd82,2.728980539,1.281077552
Ruvbl1,2.728862254,4.281712935
