PG.ProteinGroups,A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4
Q86W50,34491.38281,26209.31641,27053.48242,29735.04297,36647.44922,34389.35156,15064.03125,7596.506348,2776.216309,414.4688721,400.1094666,808.4384155
Q86W56,34904.35156,30240.60742,32252.28906,32188.94531,32353.87891,29542.91211,30270.91602,29452.36328,25544.61328,25041.58984,23722.43359,29084
Q86W92,29154.27344,30635.37109,31031.65039,28729.57617,30199.69336,28026.9707,28572.0918,27979.2168,23002.2168,21488.74219,21294.76563,29733.50781
Q86WB0,38278.07031,31329.73047,32381.55859,35496.44531,33400.54688,30042.11719,28792.82422,32943.86719,181012.3906,228012.8438,221802.9375,236939.5469
Q86WJ1,18103.2168,17294.95703,17392.87109,20222.20508,18371.53711,15965.64063,15611.66699,17787.07031,24822.44531,23155.21875,24544.50586,28760.93555
Q86WQ0,34796.36328,31263.68164,33171.67188,32170.22266,34891.46094,27576.78125,27286.04492,25028.19727,15109.95898,12104.10645,31708.13281,41952.37891
Q86WR0,20917.45508,18545.98047,19689.00586,17080.75391,18398.82227,17045.30469,15093.45898,17480.44531,27635.12695,28370.23047,28759.31641,27034.79688
Q86WX3,20433.24609,19443.86914,15862.43555,17037.56445,19952.79883,14387.80469,14838.1377,12713.46484,28510.5,26981.64844,27024.51367,30448.60742
Q86X02,12354.72852,13311.03027,12382.58105,14863.15039,10821.4502,14741.73242,14136.69434,13090.8916,29635.64648,29992.67188,29319.88867,34779.4375
Q86X29,19777.41211,51423.74609,21848.04297,18888.21094,20432.78906,61579.3125,16795.31055,13883.49707,70328.76563,74540.95313,73989.32813,67513.78906
Q86X53,106115.0938,104515.4063,110922.0938,106983.8594,102600.9844,102125.9531,98242.84375,109550.9766,97911.22656,100914.2656,101293.5781,99177.42188
Q86X55,26182.01172,31857.66406,27547.73828,28374.81836,25424.99805,27126.43555,24714.68945,22908.11523,19862.05859,16167.10742,15657.29102,24163.51563
