W8BFN5	GO:0004672; GO:0005524
W8BS66	GO:0004089; GO:0006730; GO:0008270
W8BU09	GO:0007034
W8B792	GO:0016747
W8BBF3	GO:0016021
W8C2V4	GO:0005524; GO:0006457; GO:0009408
W8AQS9	GO:0004252
W8BCU6	GO:0005267; GO:0016021
W8B3A1	GO:0008565; GO:0016021
W8AQD2	GO:0003993; GO:0016301
W8B704	GO:0016021
W8BX70	GO:0016021
W8BVJ7	GO:0042302
W8BXM7	GO:0005507; GO:0016491
W8AL50	GO:0016021; GO:0055085
W8C2V6	GO:0005524
W8AZT3	GO:0016021
W8B1G7	GO:0000123
W8BYM3	GO:0004672; GO:0005524
W8AHY3	GO:0008903
W8AP20	GO:0005215; GO:0006811; GO:0016021; GO:0055085
W8B679	GO:0016021; GO:0016787
W8BM54	GO:0005874; GO:0019799; GO:0048666; GO:0070507; GO:0071929
W8AUS3	GO:0004497; GO:0005506; GO:0016705; GO:0020037
W8AMT6	GO:0003839; GO:0006751
W8BYC3	GO:0005634; GO:0006351; GO:0006355
W8AYC2	GO:0016021
W8AEY7	GO:0005509
W8B2I3	GO:0004930; GO:0016021
W8ARQ4	GO:0005634; GO:0008270; GO:0016569
W8AXH3	GO:0004850; GO:0005737; GO:0009166; GO:0044206
W8AYB5	GO:0003676; GO:0046872
W8BDS6	GO:0004128; GO:0016021
W8C6S6	GO:0004731; GO:0009116
W8B0K1	GO:0004842; GO:0016874
W8AM85	GO:0004497; GO:0005506; GO:0016705; GO:0020037
Q9BH97	GO:0005524; GO:0006810; GO:0016021; GO:0016887
W8CAI9	GO:0004850; GO:0005737; GO:0009116; GO:0009166
Q9TW84	GO:0005549
W8B412	GO:0005524; GO:0005634; GO:0006281; GO:0006351; GO:0006355; GO:0016569; GO:0043141
W8BNV8	GO:0019013; GO:0030529
W8B8D8	GO:0005622; GO:0032367
W8C378	GO:0003676; GO:0008168
W8AT08	GO:0003676; GO:0046872
W8BBL3	GO:0004970; GO:0005234; GO:0016021; GO:0030054; GO:0045211
W8B298	GO:0004497; GO:0005506; GO:0016021; GO:0016705; GO:0020037
W8B8F5	GO:0004674
W8BTX2	GO:0004930; GO:0016021
W8AYS2	GO:0004497; GO:0005506; GO:0016705; GO:0020037
W8C5Q5	GO:0004222; GO:0008270
W8BT47	GO:0004298; GO:0005634; GO:0005737; GO:0019774; GO:0043161
W8BZQ6	GO:0004067
W8BFE6	GO:0005634; GO:0005737; GO:0006606; GO:0008565
W8APS1	GO:0003676; GO:0003700; GO:0005634; GO:0008270
W8BCZ7	GO:0004843; GO:0016579
W8C9G7	GO:0016616; GO:0051287
W8AYB1	GO:0004735; GO:0055129
W8BE47	GO:0004497; GO:0005506; GO:0016021; GO:0016705; GO:0020037
W8C7E3	GO:0005622; GO:0006886
W8BY66	GO:0004721
B5U635	GO:0004560; GO:0006004
W8C0L5	GO:0005789; GO:0006810; GO:0016021
W8BAX2	GO:0006364; GO:0032040
W8BKV6	GO:0031409
W8AJK7	GO:0007165
W8AX40	GO:0005509
W8BS60	GO:0008934; GO:0046854; GO:0046855
W8BX24	GO:0004970; GO:0016021
