A4IHK8	GO:0051443; GO:0005737; GO:0032182; GO:0000151; GO:0097602; GO:0016020; GO:0045116; GO:0009314; GO:0031624; GO:0005886; GO:0030308; GO:0043065; GO:0048471; GO:0010332; GO:0010225
A4IHM6	GO:0005525; GO:0000166; GO:0007264; GO:0005622
A4IHP4	GO:0043161; GO:0005827; GO:0016567; GO:0040016; GO:0061630; GO:0045842; GO:0000139; GO:0006810; GO:0006513; GO:0043149; GO:0007229; GO:0006511; GO:0016192; GO:0005737; GO:0031625; GO:0017145; GO:0031463; GO:0016477; GO:0007080; GO:0035024; GO:0031461; GO:0048208; GO:0006888; GO:0042787; GO:0005634; GO:0004842; GO:0070062; GO:0016020; GO:0032467; GO:0008054; GO:0006357; GO:0007369; GO:0000278; GO:0000122; GO:0031208; GO:0046982; GO:0072576; GO:0016055; GO:0030332; GO:0042803; GO:0000209; GO:0000902; GO:0044346; GO:0005794; GO:0005515; GO:0001831; GO:0030030; GO:0001701
A4IHR0	GO:0005737; GO:0005758; GO:0005739; GO:0046872; GO:0006915; GO:0043066; GO:0051537; GO:0032259; GO:0016226; GO:0051536; GO:0008152; GO:0009055; GO:0030097; GO:0008168; GO:0005634; GO:0005515; GO:0005654; GO:0005730
A4IHR1	GO:0005879; GO:0018095; GO:0042073; GO:0030030; GO:0042384; GO:0005929; GO:0030992; GO:0042995; GO:0005215; GO:0070738; GO:0036372; GO:0001736; GO:0007368; GO:0060271; GO:0031514
A4IHR5	GO:0001047; GO:0003677; GO:0003700; GO:0000122; GO:0048732; GO:0046872; GO:0017053; GO:0003309; GO:0060290; GO:0030154; GO:0031018; GO:0035987; GO:0031490; GO:0009790; GO:0007275; GO:0006351; GO:0006355; GO:0007399; GO:0003310; GO:0005634; GO:0003676
A4IHS0	GO:0005739; GO:0008033; GO:0008168; GO:0016740; GO:0032259; GO:0000964; GO:0044822; GO:0005654
A4IHS2	GO:0000463; GO:0043021; GO:0042273; GO:0042254; GO:0070545; GO:0051726; GO:0006364; GO:0030687; GO:0005654; GO:0005730; GO:0000466; GO:0005634
A4IHT0	GO:0000287; GO:0000166; GO:0046872; GO:0046034; GO:0000228; GO:0031122; GO:0010569; GO:0005524; GO:0005634; GO:0016787; GO:0008568
A4IHT9	GO:0046872; GO:0008253; GO:0016311; GO:0016787; GO:0005739; GO:0005829; GO:0043235
