Uniprot,log2FC
E0CXM2,-0.510904617
Q8CGN5,-0.513852682
D3Z0Z9,-0.514841238
E9PUA3,-0.516016808
F8WIH0,-0.517056812
F2Z3Z1,-0.517917847
Q8CBM2,-0.518337092
A3KG93,-0.520101051
G3UWH9,-0.52034752
E9Q5L2,-0.521756167
A2APY7,-0.523848951
A2AHX9,-0.523897698
E9QA15,-0.525422252
F8VQC1,-0.527392875
Q8K0Z5,-0.527833486
P10852,-0.527913394
E9Q7G0,-0.528045475
D3Z3A0,-0.528722413
F6SF53,-0.529827714
A2A464,-0.530913715
D5MCW4,-0.530983049
E9QLB2,-0.532118986
F8WHV1,-0.532511573
F6SMY7,-0.53287393
A2BDX3,-0.533379757
F6VW30,-0.534765244
Q711T1,-0.534792005
B9EHJ3,-0.53489786
B8JK07,-0.535880207
F6RJV6,-0.536024732
G3UZ34,-0.537109063
G3UXW9,-0.539018549
B0QZX9,-0.53936937
D3YXP6,-0.540319742
F8VPV0,-0.540460761
D3YZ00,-0.541913144
D3YZD6,-0.54305226
E9Q706,-0.543078673
E9Q6R7,-0.543188555
A2ACU7,-0.546456466
F7CBP1,-0.547929929
E9PWQ3,-0.548411196
E9Q9E1,-0.548510939
B2RRE7,-0.550878149
A2AJL3,-0.550984473
E9QNR6,-0.551291686
A2ABY8,-0.552828822
E9Q223,-0.55641564
B2RRI2,-0.558526643
E9Q4A5,-0.561452526
A2AAE1-4,-0.562164793
D3Z6H3,-0.565334855
E9Q6I2,-0.565805203
B9EHK9,-0.566625695
D3Z7J7,-0.566845065
E9QN99,-0.567145163
B2RY56,-0.567322272
F7B9R2,-0.570135037
F8VQK3,-0.571499162
E9QP59,-0.573921833
F8WGI9,-0.573996596
E9PV12,-0.574485058
A2A9W3,-0.575062821
B1AVY7,-0.575347921
G3X920,-0.575665945
G3UZ30,-0.57690508
A6H8H2,-0.577292293
D6RE33,-0.577330265
D3Z667,-0.578560332
D3Z286,-0.581786679
D3Z7E5,-0.582650907
F6R8A9,-0.583178985
A2AJK8,-0.584796549
A2ADY9,-0.586239964
E9Q6Q8,-0.587958878
A2A5R2,-0.588007509
F8VPL2,-0.591703661
E9Q035,-0.592000721
G3UXX3,-0.592499926
D3Z7P3,-0.592701868
E9QMZ5,-0.593469334
E9PZD8,-0.593721501
F6YXS3,-0.594025925
A2AN08-3,-0.594071587
E9Q2B2,-0.59501195
A8Y5T6,-0.595680288
G3UW40,-0.596915752
B1ARB3,-0.597041117
Q9CY00,-0.59715191
E9Q066,-0.600895706
D3YXZ5,-0.601057108
A2A5R8,-0.60130876
A2BFB0,-0.602968961
A1L341,-0.603141379
E9QNN1,-0.603804759
D3YW62,-0.603833501
G3UYV7,-0.604599491
F8WHN4,-0.605579682
B2RSH2,-0.605955769
D3YUX2,-0.606772169
A2AQD5,-0.610742247
D3Z3X1,-0.610768537
F7BTP0,-0.611683127
E9Q175,-0.613650636
D3YUP1,-0.615640488
E9PUM4,-0.615744256
F8WGX5,-0.616058201
E9Q912,-0.619163498
E9Q586,-0.621582486
G3X8R0,-0.621713906
A2AL12,-0.622159052
D3Z0A2,-0.622323165
B7ZMP1,-0.622334579
G3UW85,-0.622988198
B2RUF0,-0.623483609
A2AWT6,-0.626999885
E9Q1S3,-0.627831451
E9QNH6,-0.629244721
E9QKI5,-0.630007586
E9QMY1,-0.630285813
B1AUN3,-0.630292568
E9Q735,-0.631430512
G3X8T3,-0.632584076
G3UZY2,-0.633519921
E9Q3X0,-0.633919396
E9QA46,-0.634798737
E9QJW9,-0.635890225
A2A998,-0.637444925
E9Q3I2,-0.637963786
Q3TAI4,-0.639561534
E9Q4F7,-0.642336296
G3UVU9,-0.643165449
E9PYH2,-0.643721878
F6RXN4,-0.644709205
F8VQ05,-0.645653243
F8WIE1,-0.646580337
D3Z4P2,-0.64666303
E9Q3L2,-0.647641706
A3KGQ6,-0.64840887
E9Q287,-0.648656631
E9QNW6,-0.649362289
